latitude,longitud,name,label
-34.6288473603881,-58.3775508488443,HOSP. DE ELIZALDE,MANUEL A. MONTES DE OCA 40
-34.5941919726393,-58.4120700769456,HOSP. GUTIERREZ,GALLO 1330
-34.5845283357505,-58.4027276547828,HOSP. ODONTOLOGICO CARRILLO,SANCHEZ DE BUSTAMANTE 2529
-34.6394041316484,-58.3851559118889,HOSP. MOYANO,BRANDSEN 2570
-34.6341535760002,-58.3913114406535,HOSP. UDAONDO,CASEROS 2061
-34.6084721257413,-58.4349433479819,INST. PASTEUR,DIAZ VELEZ 4821
-34.6302112044495,-58.3758433488021,HOSP. FERRER,DOCTOR ENRIQUE FINOCHIETTO 849
-34.6357022351559,-58.3823284509488,HOSP. TOBAR GARCIA,DOCTOR RAMON CARRILLO 315
-34.6364350546569,-58.3821283746958,HOSP. BORDA,DOCTOR RAMON CARRILLO 375
-34.6388917320834,-58.3601201271455,HOSP. ODONTOLOGICO INFANTIL QUINQUELA MARTIN,DON PEDRO DE MENDOZA 1795
-34.5538963316473,-58.4409882382439,INST. DE REHAB. PSICOFISICA,ECHEVERRIA 955
-34.634856308415,-58.4027506275377,HOSP. SARDA,ESTEBAN DE LUCA 2151
-34.6054342750207,-58.4601855775528,HOSP. LAGLEYZE,JUAN B. JUSTO 4151
-34.6146348348429,-58.4276597542837,HOSP. ODONTOLOGICO DUEÑAS,MUÑIZ 15
-34.6070507603866,-58.4332484381295,HOSP. CURIE,PATRICIAS ARGENTINAS 150
-34.6255031952483,-58.4323966950244,HOSP. DE QUEMADOS A. U. ILLIA,PEDRO GOYENA 369
-34.6227125075124,-58.3940641604746,HOSP. SANTA LUCIA,SAN JUAN 2021
-34.6179817540591,-58.5021449222222,HOSP. DE REHAB. ROCCA,SEGUROLA 1949
-34.6375293258416,-58.3937269413225,HOSP. MUÑIZ,USPALLATA 2272
-34.5972098729151,-58.4752588459761,HOSP. T. DE ALVEAR,WARNES 2630
-34.5847659581214,-58.4005134574423,HOSP. RIVADAVIA,GENERAL LAS HERAS 2670
-34.6283448581677,-58.365985088719,HOSP. ARGERICH,CORBETA PI Y MARGAL 750
-34.581141710889,-58.4068939142787,HOSP. FERNANDEZ,CERVIÑO 3356
-34.6089728538414,-58.437981361705,HOSP. DURAND,DIAZ VELEZ 5044
-34.6241704940114,-58.4695020363265,HOSP. ALVAREZ,DOCTOR JUAN FELIPE ARANGUREN 2701
-34.6176598438607,-58.4096107488155,HOSP. RAMOS MEJIA,GENERAL URQUIZA 609
-34.565051956568,-58.4710781593251,HOSP. PIROVANO,MONROE 3555
-34.599979524264,-58.5110525000569,HOSP. ZUBIZARRETA,NUEVA YORK 3952
-34.6253367952668,-58.50761514092,HOSP. VELEZ SARSFIELD,PEDRO CALDERON DE LA BARCA 1550
-34.6491867281064,-58.5156291936709,HOSP. SANTOJANNI,PILAR 950
-34.6431172591975,-58.4108602188291,HOSP. PENNA,PEDRO CHUTRO 3380
-34.5873917690227,-58.4710976282168,HOSP. TORNU,COMBATIENTES DE MALVINAS 3002
-34.643894071866,-58.4541167814714,HOSP. PIÑERO,VARELA 1301
-34.6718480140772,-58.4566428491103,HOSP. GRIERSON,FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4402 4402
-34.6299453614404,-58.3918791813882,HOSP. GARRAHAN,COMBATE DE LOS POZOS 1881
-34.6419888014928,-58.3814293381891,TALLERES DE REHAB. PSIQUIATRICA,SUAREZ 2215
